Season;Week;Home or Away;Opponent;Outcome
Regular Season;12;Away;CLE;W
Regular Season;13;Home;CIN;L
Regular Season;14;Home;OAK;W
Regular Season;15;Away;NYJ;L
Regular Season;16;Home;SD;W
Regular Season;17;Away;BAL;L
Preseason;1;Home;NYJ;L
Preseason;2;Away;WAS;L
Preseason;3;Away;DET;W
Preseason;4;Home;MIN;W
Regular Season;1;Away;NE;L
Regular Season;2;Home;OAK;L
Regular Season;4;Home;CLE;W
Regular Season;5;Away;NO;L
Regular Season;6;Away;CIN;W
Regular Season;7;Home;IND;W
Regular Season;8;Away;BAL;W
Regular Season;9;Away;CLE;W
Regular Season;10;Home;ATL;T
Regular Season;11;Away;TEN;L
Regular Season;12;Home;CIN;W
Regular Season;13;Away;JAC;W
Regular Season;14;Home;HOU;L
Regular Season;15;Home;CAR;W
Regular Season;16;Away;TB;W
Regular Season;17;Home;BAL;W
Postseason;18;Home;CLE;W
Postseason;19;Away;TEN;L
Regular Season;1;Away;JAC;L
Regular Season;3;Away;BUF;W
Regular Season;4;Home;CIN;W
Regular Season;5;Away;KC;W
Regular Season;6;Away;TB;W
Regular Season;7;Home;TEN;W
Regular Season;8;Home;BAL;L
Regular Season;9;Away;CLE;W
Regular Season;10;Home;JAC;W
Regular Season;11;Away;TEN;W
Regular Season;12;Home;MIN;W
Regular Season;13;Home;NYJ;W
Regular Season;14;Away;BAL;W
Regular Season;15;Home;DET;W
Regular Season;16;Away;CIN;L
Regular Season;17;Home;CLE;W
Postseason;19;Home;BAL;W
Postseason;20;Home;NE;L
Regular Season;1;Home;DAL;L
Regular Season;2;Away;KC;L
Regular Season;3;Away;GB;L
Regular Season;4;Home;NO;W
Regular Season;5;Away;SF;L
Regular Season;6;Home;ARI;W
Regular Season;7;Home;PHI;L
Regular Season;9;Away;WAS;W
Regular Season;10;Away;SEA;L
Regular Season;11;Home;OAK;L
Regular Season;12;Away;PHI;L
Regular Season;13;Home;CHI;L
Regular Season;14;Away;ARI;W
Regular Season;15;Home;WAS;W
Regular Season;16;Away;DAL;L
Regular Season;17;Home;SD;L
Regular Season;1;Home;ARI;W
Regular Season;2;Away;ATL;L
Regular Season;3;Home;SF;L
Regular Season;4;Away;KC;W
Regular Season;5;Home;ATL;L
Regular Season;6;Away;GB;L
Regular Season;7;Home;NYG;W
Regular Season;8;Away;NO;L
Regular Season;10;Home;DEN;W
Regular Season;11;Home;RAI;L
Regular Season;12;Away;SF;L
Regular Season;13;Away;SD;L
Regular Season;14;Home;NO;L
Regular Season;15;Away;TB;L
Regular Season;16;Away;CHI;L
Regular Season;17;Home;WAS;L
Regular Season;1;Away;NYJ;W
Regular Season;2;Home;SD;W
Regular Season;3;Away;KC;L
Regular Season;5;Home;IND;W
Regular Season;6;Away;GB;L
Regular Season;7;Home;RAI;L
Regular Season;9;Home;SEA;W
Regular Season;10;Away;CLE;W
Regular Season;11;Home;MIN;L
Regular Season;12;Home;PIT;W
Regular Season;13;Away;SEA;W
Regular Season;14;Away;SD;L
Regular Season;15;Home;KC;W
Regular Season;16;Away;CHI;W
Regular Season;17;Home;TB;L
Regular Season;18;Away;RAI;L
Postseason;19;Away;RAI;L
Regular Season;4;Away;CLE;W
Regular Season;5;Home;KC;W
Regular Season;6;Away;WAS;L
Regular Season;7;Home;HOU;W
Regular Season;8;Away;SD;L
Regular Season;10;Home;NYJ;W
Regular Season;11;Home;NYG;W
Regular Season;12;Away;RAI;L
Regular Season;13;Away;SEA;L
Regular Season;14;Home;DAL;L
Regular Season;15;Away;BUF;L
Regular Season;16;Home;SEA;W
Regular Season;17;Away;KC;L
Regular Season;1;Away;NE;W
Regular Season;2;Home;DEN;L
Regular Season;3;Away;BUF;L
Regular Season;4;Home;CHI;W
Regular Season;5;Away;CIN;W
Regular Season;6;Home;NE;W
Regular Season;7;Home;BUF;L
Regular Season;8;Home;MIA;L
Regular Season;9;Away;PHI;W
Regular Season;10;Away;NYJ;W
Regular Season;11;Home;PIT;L
Regular Season;12;Away;MIA;L
Regular Season;13;Away;CLE;L
Regular Season;14;Home;NYJ;L
Regular Season;15;Away;DEN;L
Regular Season;16;Home;HOU;W
Regular Season;1;Home;ATL;W
Regular Season;2;Away;NO;W
Regular Season;4;Home;SF;W
Regular Season;6;Away;MIN;L
Regular Season;7;Home;STL;W
Regular Season;8;Home;NO;W
Regular Season;9;Away;PHI;L
Regular Season;10;Away;ATL;L
Regular Season;11;Home;NYG;W
Regular Season;12;Away;STL;W
Regular Season;13;Away;HOU;W
Regular Season;14;Home;TB;W
Regular Season;15;Away;SF;W
Regular Season;16;Home;BAL;W
Regular Season;17;Home;PIT;W
Postseason;19;Home;DAL;W
Postseason;20;Away;GB;L
Regular Season;5;Away;ATL;L
Regular Season;6;Home;DEN;L
Regular Season;7;Away;KC;L
Regular Season;8;Home;BUF;W
Regular Season;9;Home;CAR;L
Regular Season;10;Away;NYJ;W
Regular Season;11;Away;MIA;W
Regular Season;12;Home;IND;L
Regular Season;13;Away;BUF;W
Regular Season;14;Home;NO;L
Regular Season;15;Home;NYJ;W
Regular Season;16;Away;PIT;L
Regular Season;17;Away;IND;L
Preseason;1;Away;OAK;W
Preseason;2;Away;SD;L
Preseason;3;Home;STL;W
Preseason;4;Home;MIA;W
Preseason;1;Away;KC;W
Preseason;2;Home;NE;L
Preseason;3;Home;MIA;W
Preseason;4;Away;WAS;L
Regular Season;13;Home;CAR;L
Regular Season;14;Away;JAC;L
Regular Season;15;Home;DAL;L
Regular Season;16;Away;CAR;L
Regular Season;17;Away;ATL;L
Preseason;1;Away;MIA;L
Preseason;2;Home;KC;W
Preseason;3;Home;JAC;L
Preseason;4;Away;HOU;W
Regular Season;1;Home;CLE;W
Regular Season;2;Away;CAR;W
Regular Season;3;Home;PIT;L
Regular Season;5;Away;CIN;W
Regular Season;6;Home;NO;L
Regular Season;7;Home;STL;W
Regular Season;8;Away;ARI;W
Regular Season;9;Away;ATL;L
Regular Season;10;Home;CAR;W
Regular Season;11;Away;SF;W
Regular Season;12;Away;BAL;L
Regular Season;13;Home;ATL;L
Regular Season;14;Away;WAS;W
Regular Season;15;Home;DET;L
Regular Season;16;Home;SEA;W
Regular Season;17;Away;NO;W
Preseason;1;Away;OAK;L
Preseason;2;Home;TEN;W
Preseason;3;Home;SF;L
Preseason;4;Away;MIN;W
Regular Season;12;Away;ATL;L
Regular Season;13;Away;CAR;L
Regular Season;14;Home;NYJ;L
Regular Season;15;Away;SEA;W
Regular Season;16;Away;NO;W
Regular Season;17;Home;ATL;L
Preseason;1;Away;LA;L
Preseason;2;Home;MIA;W
Preseason;3;Away;SEA;L
Preseason;4;Home;HOU;L
Preseason;1;Away;SD;L
Preseason;2;Away;SF;L
Preseason;3;Home;MIN;L
Preseason;4;Home;HOU;W
Regular Season;16;Away;BUF;L
Regular Season;17;Home;WAS;L
Regular Season;1;Away;NO;L
Regular Season;2;Home;DEN;W
Regular Season;3;Home;TB;L
Regular Season;4;Away;CHI;W
Regular Season;5;Away;TB;W
Regular Season;6;Away;SEA;L
Regular Season;7;Home;LA;L
Regular Season;8;Home;GB;W
Regular Season;9;Away;DAL;W
Regular Season;10;Home;DET;W
Regular Season;11;Home;CHI;W
Regular Season;12;Home;SD;L
Regular Season;14;Home;PHI;W
Regular Season;15;Away;DET;L
Regular Season;16;Away;OAK;L
Postseason;18;Away;LA;L
Regular Season;1;Home;DAL;L
Regular Season;2;Away;TB;W
Regular Season;3;Home;GB;W
Regular Season;4;Home;DET;W
Regular Season;5;Home;CHI;W
Regular Season;6;Away;LA;L
Regular Season;7;Away;ATL;W
Regular Season;8;Home;STL;L
Regular Season;9;Home;CIN;W
Regular Season;1;Away;NO;W
Regular Season;3;Away;DET;W
Regular Season;4;Home;PIT;W
Regular Season;5;Home;CHI;W
Regular Season;6;Home;NYG;W
Regular Season;7;Away;PHI;W
Regular Season;8;Away;CHI;L
Regular Season;9;Home;DET;W
Regular Season;10;Home;SEA;W
Regular Season;11;Away;GB;W
Regular Season;12;Away;SF;L
Regular Season;13;Home;GB;W
Regular Season;14;Away;MIA;W
Postseason;15;Home;WAS;W
Postseason;16;Home;LA;W
Postseason;17;Home;OAK;L
Pro Bowl;18;Away;APR;L
Regular Season;1;Home;SF;W
Regular Season;2;Away;CLE;W
Regular Season;3;Home;CHI;W
Regular Season;4;Home;NYJ;W
Regular Season;5;Home;DET;W
Regular Season;6;Away;CHI;W
Regular Season;7;Away;GB;W
Regular Season;8;Home;ATL;W
Regular Season;9;Away;NO;W
Regular Season;10;Home;SD;W
Regular Season;11;Away;WAS;L
Regular Season;12;Home;GB;W
Regular Season;13;Away;DET;L
Regular Season;14;Away;BUF;W
Postseason;15;Home;DAL;L
Pro Bowl;18;Away;NPR;L
Regular Season;1;Away;GB;W
Regular Season;2;Away;DET;W
Regular Season;3;Home;CHI;W
Regular Season;4;Away;DAL;W
Regular Season;5;Home;HOU;W
Regular Season;6;Home;DET;L
Regular Season;7;Home;NE;L
Regular Season;8;Away;CHI;W
Regular Season;9;Away;STL;W
Regular Season;10;Home;GB;L
Regular Season;11;Away;LA;L
Regular Season;12;Home;NO;W
Regular Season;13;Home;ATL;W
Regular Season;14;Away;KC;W
Postseason;15;Home;STL;W
Postseason;16;Home;LA;W
Postseason;17;Home;PIT;L
Pro Bowl;18;Away;APR;W
Regular Season;1;Home;OAK;W
Regular Season;2;Away;CHI;W
Regular Season;3;Home;GB;W
Regular Season;4;Away;DET;W
Regular Season;5;Away;SF;W
Regular Season;6;Home;PHI;W
Regular Season;7;Home;LA;W
Regular Season;8;Home;CLE;W
Regular Season;9;Home;DET;W
Regular Season;10;Away;ATL;L
Regular Season;11;Home;CHI;W
Regular Season;12;Away;CIN;L
Regular Season;13;Away;GB;W
Regular Season;14;Away;NYG;W
Postseason;15;Home;WAS;W
Postseason;16;Away;DAL;W
Postseason;17;Away;MIA;L
Regular Season;1;Home;WAS;L
Regular Season;2;Away;DET;W
Regular Season;3;Home;MIA;L
Regular Season;4;Home;STL;L
Regular Season;5;Away;DEN;W
Regular Season;6;Away;CHI;L
Regular Season;7;Away;GB;W
Regular Season;8;Home;NO;W
Regular Season;9;Home;DET;W
Regular Season;10;Away;LA;W
Regular Season;11;Away;PIT;L
Regular Season;12;Home;CHI;W
Regular Season;13;Home;GB;L
Regular Season;14;Away;SF;L
Regular Season;1;Away;GB;W
Regular Season;2;Home;WAS;L
Regular Season;3;Away;STL;W
Regular Season;4;Away;DAL;L
Regular Season;5;Home;BAL;L
Regular Season;6;Away;PHI;L
Regular Season;7;Home;MIN;L
Regular Season;8;Home;SD;W
Regular Season;9;Away;ATL;W
Regular Season;10;Away;PIT;L
Regular Season;11;Home;STL;L
Regular Season;12;Away;WAS;L
Regular Season;13;Home;DAL;L
Regular Season;14;Home;PHI;L
Regular Season;1;Home;CHI;L
Regular Season;2;Away;DAL;L
Regular Season;3;Away;NO;L
Regular Season;4;Home;PHI;W
Regular Season;5;Away;BOS;W
Regular Season;6;Home;STL;W
Regular Season;7;Away;NYJ;W
Regular Season;8;Home;DAL;W
Regular Season;9;Home;WAS;W
Regular Season;10;Away;PHI;L
Regular Season;11;Away;WAS;W
Regular Season;12;Home;BUF;W
Regular Season;13;Away;STL;W
Regular Season;14;Home;LA;L
Pro Bowl;18;Away;NPR;L
Preseason;1;Home;CHI;W
Preseason;2;Away;PHI;L
Regular Season;1;Away;BUF;L
Regular Season;2;Home;KC;W
Regular Season;3;Away;PIT;W
Regular Season;4;Away;CLE;W
Regular Season;5;Away;SD;W
Regular Season;6;Home;CIN;W
Regular Season;7;Away;SF;W
Regular Season;8;Away;DEN;W
Regular Season;9;Home;DET;W
Regular Season;10;Home;SD;W
Regular Season;11;Home;DEN;L
Regular Season;12;Home;NE;W
Regular Season;13;Away;KC;W
Regular Season;14;Home;DAL;W
Postseason;15;Home;MIA;W
Postseason;16;Home;PIT;L
Regular Season;1;Away;MIN;L
Regular Season;2;Home;MIA;W
Regular Season;3;Away;KC;L
Regular Season;4;Away;STL;W
Regular Season;5;Away;SD;W
Regular Season;7;Away;BAL;W
Regular Season;8;Home;NYG;W
Regular Season;9;Home;PIT;L
Regular Season;10;Home;CLE;L
Regular Season;11;Home;SD;W
Regular Season;12;Away;HOU;W
Regular Season;13;Home;KC;W
Regular Season;14;Home;DEN;W
Postseason;15;Home;PIT;W
Postseason;16;Away;MIA;L
Regular Season;1;Away;PIT;L
Regular Season;2;Away;GB;W
Regular Season;4;Away;HOU;W
Regular Season;5;Home;BUF;W
Regular Season;6;Home;DEN;L
Regular Season;7;Home;LA;W
Regular Season;8;Away;KC;L
Regular Season;9;Away;CIN;W
Regular Season;10;Away;DEN;W
Regular Season;11;Home;KC;W
Regular Season;12;Away;SD;W
Regular Season;13;Home;NYJ;W
Regular Season;14;Home;CHI;W
Postseason;15;Away;PIT;L
Pro Bowl;18;Away;NPR;W
Regular Season;1;Away;NE;L
Regular Season;2;Away;SD;W
Regular Season;3;Away;CLE;W
Regular Season;4;Away;DEN;W
Regular Season;5;Home;PHI;W
Regular Season;6;Home;CIN;W
Regular Season;9;Home;HOU;W
Regular Season;10;Home;SD;W
Regular Season;11;Home;BAL;L
Regular Season;12;Away;ATL;L
Regular Season;13;Away;KC;L
Regular Season;14;Home;DEN;W
Regular Season;1;Away;CIN;L
Regular Season;3;Away;MIA;L
Regular Season;4;Home;DEN;W
Regular Season;5;Home;WAS;W
Regular Season;6;Home;PIT;W
Regular Season;8;Home;CLE;W
Regular Season;9;Away;DEN;W
Regular Season;10;Home;SD;W
Regular Season;11;Away;DET;L
Regular Season;12;Away;NYJ;W
Regular Season;13;Home;KC;W
Regular Season;14;Home;SF;L
Postseason;15;Home;MIA;W
Postseason;16;Away;BAL;L
Pro Bowl;18;Away;NPR;L
Preseason;0;Home;IND;W
Preseason;1;Home;BUF;W
Preseason;2;Away;NYJ;W
Preseason;3;Away;CAR;L
Preseason;4;Home;JAC;L
Preseason;1;Away;SD;W
Preseason;2;Away;GB;L
Preseason;3;Home;MIN;W
Preseason;4;Home;OAK;W
Regular Season;10;Home;NYJ;L
Regular Season;11;Home;MIN;W
Regular Season;12;Away;KC;L
Regular Season;13;Home;DEN;L
Regular Season;14;Away;PIT;L
Regular Season;15;Home;BAL;W
Regular Season;16;Home;GB;L
Regular Season;17;Away;SD;L
Regular Season;1;Away;JAC;L
Regular Season;3;Away;BUF;W
Regular Season;4;Home;CIN;W
Regular Season;5;Away;KC;W
Regular Season;6;Away;TB;W
Regular Season;7;Home;TEN;W
Regular Season;8;Home;BAL;L
Regular Season;9;Away;CLE;W
Regular Season;10;Home;JAC;W
Regular Season;11;Away;TEN;W
Regular Season;12;Home;MIN;W
Regular Season;13;Home;NYJ;W
Regular Season;14;Away;BAL;W
Regular Season;15;Home;DET;W
Regular Season;16;Away;CIN;L
Regular Season;17;Home;CLE;W
Postseason;19;Home;BAL;W
Postseason;20;Home;NE;L
Regular Season;1;Home;BAL;L
Regular Season;3;Away;CLE;L
Regular Season;4;Home;TEN;L
Regular Season;5;Away;JAC;W
Regular Season;6;Away;NYJ;W
Regular Season;7;Home;CIN;W
Regular Season;8;Home;CLE;W
Regular Season;9;Away;BAL;W
Regular Season;10;Away;TEN;L
Regular Season;11;Home;PHI;L
Regular Season;12;Home;JAC;L
Regular Season;13;Away;CIN;W
Regular Season;14;Home;OAK;W
Regular Season;15;Away;NYG;L
Regular Season;16;Home;WAS;W
Regular Season;17;Away;SD;W
Preseason;1;Home;CLE;W
Preseason;2;Away;OAK;L
Preseason;3;Home;JAC;W
Regular Season;1;Away;DEN;L
Regular Season;8;Away;CIN;L
Regular Season;9;Home;NO;W
Regular Season;11;Away;BUF;L
Regular Season;12;Away;BAL;L
Regular Season;13;Home;MIA;L
Regular Season;14;Home;OAK;W
Regular Season;15;Away;CAR;L
Regular Season;16;Home;CLE;W
Regular Season;17;Away;MIA;W
Preseason;1;Home;TB;L
Preseason;2;Away;CAR;L
Preseason;3;Home;ATL;L
Preseason;4;Away;DAL;L
Preseason;1;Away;NE;L
Preseason;2;Home;ATL;W
Preseason;3;Away;BUF;L
Preseason;4;Home;STL;L
Preseason;1;Away;PHI;L
Preseason;2;Home;MIA;L
Preseason;3;Away;TB;W
Preseason;4;Home;ATL;W
Regular Season;1;Home;DEN;W
Regular Season;2;Away;SD;L
Regular Season;3;Home;PHI;L
Regular Season;4;Home;IND;W
Regular Season;5;Away;BUF;W
Regular Season;6;Home;TEN;L
Regular Season;7;Away;KC;L
Regular Season;8;Away;DAL;W
Regular Season;10;Home;HOU;W
Regular Season;11;Home;CLE;W
Regular Season;12;Away;NYG;L
Regular Season;13;Away;TEN;W
Regular Season;14;Home;OAK;W
Regular Season;15;Away;IND;L
Regular Season;16;Home;WAS;L
Preseason;1;Away;MIA;L
Preseason;2;Home;TB;L
Preseason;3;Away;PHI;L
Preseason;4;Home;WAS;W
Regular Season;1;Away;IND;L
Regular Season;2;Home;ARI;L
Regular Season;3;Away;HOU;W
Regular Season;4;Home;TEN;W
Regular Season;5;Away;SEA;L
Regular Season;6;Home;STL;W
Regular Season;8;Away;TEN;L
Regular Season;9;Home;KC;W
Regular Season;10;Away;NYJ;W
Regular Season;11;Home;BUF;W
Regular Season;12;Away;SF;L
Regular Season;13;Home;HOU;W
Regular Season;14;Home;MIA;L
Regular Season;15;Home;IND;L
Regular Season;16;Away;NE;L
Regular Season;17;Away;CLE;L
Pro Bowl;21;Away;APR;L
Preseason;1;Home;ATL;W
Preseason;2;Home;MIA;L
Preseason;3;Away;TB;W
Preseason;4;Away;WAS;W
Regular Season;1;Away;TEN;L
Regular Season;2;Home;BUF;L
Regular Season;3;Away;IND;W
Regular Season;4;Home;HOU;W
Regular Season;5;Home;PIT;L
Regular Season;6;Away;DEN;W
Regular Season;8;Home;CLE;L
Regular Season;9;Away;CIN;L
Regular Season;10;Away;DET;W
Regular Season;11;Home;TEN;L
Regular Season;12;Home;MIN;L
Regular Season;13;Away;HOU;L
Regular Season;14;Away;CHI;L
Regular Season;15;Home;GB;W
Regular Season;16;Home;IND;L
Regular Season;17;Away;BAL;L
Preseason;1;Away;MIA;L
Preseason;2;Home;TB;W
Preseason;3;Away;GB;W
Preseason;4;Home;WAS;W
Regular Season;1;Home;TEN;L
Regular Season;2;Home;ATL;W
Regular Season;3;Away;DEN;W
Regular Season;5;Away;KC;W
Regular Season;6;Home;HOU;W
Regular Season;7;Home;IND;L
Regular Season;8;Away;TB;W
Regular Season;9;Away;NO;L
Regular Season;10;Away;TEN;W
Regular Season;11;Home;SD;W
Regular Season;12;Home;BUF;W
Regular Season;13;Away;IND;L
Regular Season;14;Home;CAR;W
Regular Season;15;Away;PIT;W
Regular Season;16;Home;OAK;W
Regular Season;17;Away;HOU;L
Postseason;18;Away;PIT;W
Postseason;19;Away;NE;L
Preseason;1;Away;MIA;W
Preseason;2;Home;CAR;L
Preseason;3;Home;TB;W
Preseason;4;Away;ATL;W
Regular Season;1;Home;DAL;W
Regular Season;2;Home;PIT;W
Regular Season;3;Away;IND;L
Regular Season;4;Away;WAS;L
Regular Season;5;Home;NYJ;W
Regular Season;7;Away;HOU;L
Regular Season;8;Away;PHI;W
Regular Season;9;Home;TEN;W
Regular Season;10;Home;HOU;L
Regular Season;11;Home;NYG;W
Regular Season;12;Away;BUF;L
Regular Season;13;Away;MIA;W
Regular Season;14;Home;IND;W
Regular Season;15;Away;TEN;L
Regular Season;16;Home;NE;L
Regular Season;17;Away;KC;L
Regular Season;1;Home;SEA;W
Regular Season;2;Away;IND;L
Regular Season;3;Away;NYJ;W
Regular Season;4;Home;DEN;L
Regular Season;5;Home;CIN;W
Regular Season;6;Away;PIT;W
Regular Season;8;Away;STL;L
Regular Season;9;Home;HOU;W
Regular Season;10;Home;BAL;W
Regular Season;11;Away;TEN;W
Regular Season;12;Away;ARI;W
Regular Season;13;Away;CLE;W
Regular Season;14;Home;IND;L
Regular Season;15;Home;SF;W
Regular Season;16;Away;HOU;W
Regular Season;17;Home;TEN;W
Postseason;18;Away;NE;L
Regular Season;1;Away;BUF;W
Regular Season;2;Home;DEN;W
Regular Season;3;Away;TEN;W
Regular Season;4;Home;IND;L
Regular Season;5;Away;SD;L
Regular Season;6;Home;KC;W
Regular Season;7;Away;IND;W
Regular Season;8;Away;HOU;L
Regular Season;10;Home;DET;W
Regular Season;11;Home;TEN;L
Regular Season;12;Away;MIN;L
Regular Season;13;Home;PIT;L
Regular Season;14;Home;CHI;W
Regular Season;15;Away;GB;W
Regular Season;16;Home;HOU;L
Regular Season;17;Away;OAK;W
Regular Season;1;Away;CAR;L
Regular Season;2;Home;BUF;L
Regular Season;3;Away;IND;L
Regular Season;4;Away;HOU;L
Regular Season;5;Home;SD;W
Regular Season;6;Home;MIA;L
Regular Season;8;Home;TEN;L
Regular Season;9;Away;BAL;L
Regular Season;10;Home;IND;W
Regular Season;11;Away;TEN;L
Regular Season;12;Away;NYJ;L
Regular Season;13;Home;TB;W
Regular Season;14;Home;HOU;W
Regular Season;15;Away;NE;L
Regular Season;16;Home;NO;W
Regular Season;17;Away;ATL;L
Preseason;1;Away;ATL;L
Preseason;2;Home;TB;L
Preseason;3;Away;CHI;W
Preseason;4;Home;DAL;L
Regular Season;1;Home;IND;L
Regular Season;2;Away;KC;W
Regular Season;4;Home;NYJ;W
Regular Season;5;Home;PHI;W
Regular Season;6;Away;TEN;L
Regular Season;7;Away;BAL;L
Regular Season;8;Home;HOU;L
Regular Season;9;Away;NYG;L
Regular Season;10;Home;WAS;W
Regular Season;11;Away;HOU;W
Regular Season;12;Away;DAL;L
Regular Season;13;Home;PIT;L
Regular Season;14;Home;CLE;L
Regular Season;15;Away;CIN;W
Regular Season;16;Home;TEN;L
Regular Season;17;Away;IND;L
Preseason;1;Home;BAL;L
Preseason;2;Away;NE;L
Preseason;1;Away;CHI;W
Preseason;2;Home;SEA;L
Preseason;3;Home;SF;L
Preseason;4;Away;ARI;W
Preseason;1;Away;DAL;L
Preseason;2;Home;BUF;W
Preseason;3;Home;SEA;W
Preseason;4;Away;ARI;L
Preseason;1;Home;NYJ;W
Preseason;2;Away;ATL;W
Preseason;3;Home;GB;L
Regular Season;1;Home;DET;L
Regular Season;2;Away;CHI;W
Regular Season;3;Away;PIT;W
Regular Season;4;Home;OAK;W
Regular Season;6;Away;SD;L
Regular Season;7;Home;BUF;W
Regular Season;8;Away;GB;W
Regular Season;9;Home;CIN;W
Regular Season;10;Home;DEN;W
Regular Season;11;Away;KC;W
Regular Season;12;Home;TB;L
Regular Season;13;Away;OAK;L
Regular Season;14;Home;SD;L
Regular Season;15;Away;DEN;L
Regular Season;16;Home;KC;W
Regular Season;17;Away;NYJ;L
Postseason;18;Home;MIA;L
Regular Season;1;Away;SF;L
Regular Season;2;Home;BAL;L
Regular Season;3;Home;IND;W
Regular Season;5;Home;MIA;W
Regular Season;6;Away;STL;L
Regular Season;7;Away;NE;W
Regular Season;8;Home;ATL;W
Regular Season;9;Away;KC;W
Regular Season;10;Home;BUF;W
Regular Season;11;Away;IND;L
Regular Season;12;Away;TEN;W
Regular Season;13;Home;CAR;W
Regular Season;14;Home;SEA;W
Regular Season;15;Away;MIA;W
Regular Season;16;Away;BUF;W
Regular Season;17;Home;NE;W
Postseason;19;Home;JAC;W
Postseason;20;Away;DEN;L
Regular Season;1;Away;SEA;W
Regular Season;2;Home;BUF;L
Regular Season;3;Away;NE;L
Regular Season;4;Home;OAK;W
Regular Season;5;Away;CIN;W
Regular Season;6;Away;IND;W
Regular Season;7;Home;MIA;L
Regular Season;8;Home;NE;W
Regular Season;10;Home;BAL;W
Regular Season;11;Away;MIA;L
